Feature,Importance
technical_skills_score,0.20527781293090366
salary_expectation,0.15424867654440258
willing_to_relocate,0.13901228111753627
cultural_fit_score,0.07773906701459397
communication_skills_score,0.07689412824888192
candidate_id,0.058032495379764376
leadership_skills_score,0.05385520241855447
age,0.04826301716189589
availability,0.046856196454521305
years_experience,0.045318875533264705
previous_companies,0.03366877659744652
certifications,0.02279988697378052
position_applied,0.021237857862182023
education_level,0.016795725762271795
